,timepoint_id,sample_id,timepoint_unknown,persistent_beta_param,persistent_gamma_param,S_state,I_state,R_state,incident_cases_observable_state,beta_param_observable_state
53,53,0,53.0,0.0029175076633691788,0.051650479435920715,1.8668524538022775e-20,73.35663604736328,926.6433715820312,3.995410393911485e-21,0.0029175076633691788
54,54,0,54.0,0.0029175076633691788,0.051650479435920715,1.515382926852356e-20,69.66394805908203,930.3363647460938,3.079941579562276e-21,0.0029175076633691788
55,55,0,55.0,0.0029175076633691788,0.051650479435920715,1.2430696569830006e-20,66.15711975097656,933.8431396484375,2.3992973453824025e-21,0.0029175076633691788
56,56,0,56.0,0.0029175076633691788,0.051650479435920715,1.0299102214482005e-20,62.826759338378906,937.1738891601562,1.887800237359686e-21,0.0029175076633691788
57,57,0,57.0,0.0029175076633691788,0.051650479435920715,8.614181350944803e-21,59.66417694091797,940.3363037109375,1.4994765021669026e-21,0.0029175076633691788
58,58,0,58.0,0.0029175076633691788,0.051650479435920715,7.270017702307535e-21,56.660709381103516,943.3394775390625,1.201792455843681e-21,0.0029175076633691788
59,59,0,59.0,0.0029175076633691788,0.051650479435920715,6.188220961349812e-21,53.80845260620117,946.1917724609375,9.714675887648241e-22,0.0029175076633691788
60,60,0,60.0,0.0029175076633691788,0.051650479435920715,5.3102927374372994e-21,51.09978103637695,948.9008178710938,7.91679700872871e-22,0.0029175076633691788
61,61,0,61.0,0.0029175076633691788,0.051650479435920715,4.5921428498925e-21,48.52742004394531,951.472412109375,6.5015149115349e-22,0.0029175076633691788
62,62,0,62.0,0.0029175076633691788,0.051650479435920715,4.000270887803801e-21,46.084617614746094,953.9155883789062,5.378453146925879e-22,0.0029175076633691788
63,63,0,63.0,0.0029175076633691788,0.051650479435920715,3.5089728598709686e-21,43.76475143432617,956.2354736328125,4.480396726808982e-22,0.0029175076633691788
64,64,0,64.0,0.0029175076633691788,0.051650479435920715,3.098386737869928e-21,41.56169509887695,958.4386596679688,3.756997392769382e-22,0.0029175076633691788
65,65,0,65.0,0.0029175076633691788,0.051650479435920715,2.7530313600385448e-21,39.469478607177734,960.5303344726562,3.1701843388678795e-22,0.0029175076633691788
66,66,0,66.0,0.0029175076633691788,0.051650479435920715,2.460767406601141e-21,37.48262023925781,962.5177001953125,2.690992612148676e-22,0.0029175076633691788
67,67,0,67.0,0.0029175076633691788,0.051650479435920715,2.2119980880340032e-21,35.595848083496094,964.4037475585938,2.2971856751976567e-22,0.0029175076633691788
68,68,0,68.0,0.0029175076633691788,0.051650479435920715,1.9990653193740882e-21,33.803855895996094,966.196044921875,1.9715382137239055e-22,0.0029175076633691788
69,69,0,69.0,0.0029175076633691788,0.051650479435920715,1.8158609695649315e-21,32.102237701416016,967.8982543945312,1.70070863344509e-22,0.0029175076633691788
70,70,0,70.0,0.0029175076633691788,0.051650479435920715,1.6574475014027696e-21,30.486236572265625,969.5140380859375,1.4741972588215908e-22,0.0029175076633691788
71,71,0,71.0,0.0029175076633691788,0.051650479435920715,1.5198233075053423e-21,28.951580047607422,971.048828125,1.2837408665345266e-22,0.0029175076633691788
72,72,0,72.0,0.0029175076633691788,0.051650479435920715,1.3997183385394549e-21,27.49419593811035,972.5064697265625,1.122777396029907e-22,0.0029175076633691788
73,73,0,73.0,0.0029175076633691788,0.051650479435920715,1.2944583939017317e-21,26.110139846801758,973.8899536132812,9.860735440624956e-23,0.0029175076633691788
74,74,0,74.0,0.0029175076633691788,0.051650479435920715,1.201835369876925e-21,24.795778274536133,975.2044677734375,8.694302355882374e-23,0.0029175076633691788
75,75,0,75.0,0.0029175076633691788,0.051650479435920715,1.1200175945519838e-21,23.547592163085938,976.4517211914062,7.694551793880646e-23,0.0029175076633691788
76,76,0,76.0,0.0029175076633691788,0.051650479435920715,1.0474810643886683e-21,22.362205505371094,977.6381225585938,6.833966392979491e-23,0.0029175076633691788
77,77,0,77.0,0.0029175076633691788,0.051650479435920715,9.82949667499595e-22,21.236513137817383,978.7637329101562,6.090128619518701e-23,0.0029175076633691788
78,78,0,78.0,0.0029175076633691788,0.051650479435920715,9.25352168640797e-22,20.167516708374023,979.8326416015625,5.444669374003662e-23,0.0029175076633691788
79,79,0,79.0,0.0029175076633691788,0.051650479435920715,8.737784873849135e-22,19.15227508544922,980.8482666015625,4.8824040306419544e-23,0.0029175076633691788
80,80,0,80.0,0.0029175076633691788,0.051650479435920715,8.2746742975639155e-22,18.188152313232422,981.8119506835938,4.390879315639398e-23,0.0029175076633691788
81,81,0,81.0,0.0029175076633691788,0.051650479435920715,7.857609974078553e-22,17.272573471069336,982.7276000976562,3.959674691982385e-23,0.0029175076633691788
